PHASE	TESS
his	his
mother	mother
Child	Child
of	of
the	the
soil	soil
Well	Well
we	we
all	all
are	are
children	children
of	of
thesoil	the
Iwishsheweresointhesenseyoumean	soil
null	I
null	wish
null	she
null	were
null	so
null	in
null	the
null	sense
null	you
null	mean
but	but
let	let
me	me
now	now
explain	explain
to	to
you	you
what	what
I	I
have	have
never	never
explained	explained
before	before
that	that
her	her
father	father
is	is
a	a
descendant	descendant
in	in
the	the
male	male
line	line
of	of
one	one
of	of
the	the
oldest	oldest
Norman	Norman
houses	houses
like	like
a	a
good	good
many	many
others	others
who	who
lead	lead
obscure	obscure
agricultural	agricultural
lives	lives
in	in
our	our
villages	villages
and	and
are	are
dubbed	dubbed
“sons	sons
of	of
the	the
soil’	soil
He	He
soon	soon
retired	retired
to	to
bed	bed
and	and
the	the
next	next
morning	morning
feeling	feeling
exceedingly	exceedingly
unwell	unwell
he	he
remained	remained
in	in
his	his
room	room
pondering	pondering
The	The
circumstances	circumstances
amid	amid
which	which
he	he
had	had
left	left
Tess	Tess
were	were
such	such
that	that
though	though
while	while
on	on
the	the
south	south
of	of
the	the
Equator	Equator
and	and
just	just
in	in
receipt	receipt
of	of
her	her
loving	loving
epistle	epistle
it	it
47	null
TESS	null
OF	null
THE	null
DURBERVILLES	null
had	had
seemed	seemed
the	the
easiest	easiest
thing	thing
in	in
the	the
world	world
to	to
rush	rush
back	back
into	into
her	her
arms	arms
the	the
moment	moment
he	he
chose	chose
to	to
forgive	forgive
her	her
now	now
that	that
he	he
had	had
arrived	arrived
it	it
was	was
not	not
so	so
easy	easy
as	as
it	it
had	had
seemed	seemed
She	She
was	was
passionate	passionate
and	and
her	her
present	present
letter	letter
showing	showing
that	that
her	her
estimate	estimate
of	of
him	him
had	had
changed	changed
under	under
his	his
delay—too	delaytoo
justly	justly
changed	changed
he	he
sadly	sadly
owned——made	ownedmade
him	him
ask	ask
himself	himself
if	if
it	it
would	would
be	be
wise	wise
to	to
confront	confront
her	her
unannounced	unannounced
in	in
the	the
presence	presence
of	of
her	her
parents	parents
Supposing	Supposing
that	that
her	her
love	love
had	had
indeed	indeed
turned	turned
to	to
diser	dislike
during	during
the	the
last	last
weeks	weeks
of	of
separation	separation
a	a
sudden	sudden
meeting	meeting
might	might
lead	lead
to	to
bitter	bitter
words	words
Clare	Clare
therefore	therefore
thought	thought
it	it
would	would
be	be
best	best
to	to
prepare	prepare
Tess	Tess
and	and
her	her
family	family
by	by
sending	sending
a	a
line	line
to	to
Marlott	Marlott
announcing	announcing
his	his
retmn	return
and	and
his	his
hope	hope
that	that
she	she
was	was
still	still
living	living
with	with
them	them
there	there
as	as
he	he
had	had
arranged	arranged
for	for
her	her
to	to
do	do
when	when
he	he
left	left
England	England
He	He
despatched	despatched
the	the
inquiry	inquiry
that	that
very	very
day	day
and	and
before	before
the	the
week	week
was	was
out	out
there	there
came	came
a	a
short	short
reply	reply
from	from
Mrs	Mrs
Durbeyﬁeld	Durbeyfield
which	which
did	did
not	not
remove	remove
his	his
embarrassment	embarrassment
for	for
it	it
bore	bore
no	no
address	address
though	though
to	to
his	his
surprise	surprise
it	it
was	was
not	not
written	written
from	from
Marlott	Marlott
SIR—J	SIR
null	J
write	write
these	these
few	few
linestosay	lines
thatm	to
Daughterisewsyfrom	say
meetpramhandjamnotmwheushe	that
returnbuthillletyw	my
lmowasSoonasshedo	Daughter
JdonntfeeletlibertytotellyouWhereshe	is
istemperly	away
hiding	from
Jehouldsay	me
thatmeend	at
null	present
null	and
null	J
null	am
null	not
null	sure
null	when
null	she
null	will
null	return
null	but
null	J
null	will
null	let
null	you
null	know
null	as
null	Soon
null	as
null	she
null	do
null	J
null	do
null	not
null	feel
null	at
null	liberty
null	to
null	tell
null	you
null	Where
null	she
null	is
null	temperly
null	biding
null	J
null	should
null	say
null	that
null	me
null	and
null	my
Family	Family
have	have
left	left
MarlottﬁorsuneTime—Youm	Marlott
Dmsrmn	for
ItwassucharelieftoClaretoleamthatTesswas	some
null	Time
null	Yours
null	J
null	DURBEYFIELD
null	It
null	was
null	such
null	a
null	relief
null	to
null	Clare
null	to
null	learn
null	that
null	Tess
null	was
at	at
least	least
apparently	apparently
well	well
that	that
her	her
mothers	mothers
stiﬁ	stiff
reticence	reticence
as	as
to	to
her	her
whereabouts	whereabouts
did	did
not	not
long	long
distress	distress
him	him
They	They
were	were
all	all
angry	angry
with	with
him	him
evidently	evidently
He	He
would	would
wait	wait
till	till
Mrs	Mrs
Durbeyﬁeld	Durbeyfield
could	could
inform	inform
him	him
of	of
Tess’s	Tesss
return	return
which	which
her	her
letter	letter
implied	implied
to	to
be	be
soon	soon
He	He
deserved	deserved
no	no
more	more
His	His
had	had
been	been
a	a
love	love
‘which	which
alters	alters
when	when
it	it
alteration	alteration
ﬁnds’	finds
He	He
had	had
undergone	undergone
some	some
strange	strange
experiences	experiences
in	in
his	his
absence	absence
he	he
had	had
seen	seen
the	the
virtual	virtual
Faustina	Faustina
in	in
the	the
literal	literal
Cornelia	Cornelia
a	a
spiritual	spiritual
Lucretia	Lucretia
in	in
a	a
corporeal	corporeal
Phryne	Phryne
he	he
had	had
thought	thought
of	of
the	the
woman	woman
taken	taken
and	and
set	set
in	in
the	the
midst	midst
as	as
one	one
deserving	deserving
to	to
be	be
472	null
FULFILMENT	null
stoned	stoned
and	and
of	of
the	the
wife	wife
of	of
Uriah	Uriah
being	being
made	made
a	a
queen	queen
and	and
he	he
had	had
asked	asked
himself	himself
why	why
he	he
had	had
not	not
judged	judged
Tess	Tess
constructively	constructively
rather	rather
than	than
biographically	biographically
by	by
the	the
will	will
rather	rather
than	than
by	by
the	the
deed	deed
A	A
day	day
or	or
two	two
passed	passed
while	while
he	he
waited	waited
at	at
his	his
father’s	fathers
house	house
for	for
the	the
promised	promised
second	second
note	note
from	from
Joan	Joan
Durbeyﬁeld	Durbeyfield
and	and
indirectly	indirectly
to	to
recover	recover
a	a
little	little
more	more
strength	strength
The	The
strength	strength
showed	showed
signs	signs
of	of
coming	coming
back	back
but	but
there	there
was	was
no	no
sign	sign
of	of
Joan’s	Joans
letter	letter
Then	Then
he	he
hunted	hunted
up	up
the	the
old	old
letter	letter
sent	sent
on	on
to	to
him	him
in	in
Brazil	Brazil
which	which
Tess	Tess
had	had
written	written
from	from
Flinteomb—Ash	FlintcombAsh
and	and
reread	reread
it	it
The	The
sentences	sentences
touched	touched
him	him
now	now
as	as
much	much
as	as
when	when
he	he
had	had
ﬁrst	first
perused	perused
them	them
Inmstcrytoyminmyhuuble—IhavenooneelseIthinkl	I
mustdieifymdomtmemwtellmetommetoyouPleese	must
pleasenottobejustonlynlittleldndwmelIfyouwouldoomel	cry
coulddieinyouraims	to
Iwmﬂdbewellcontaitmdothatifsobeymhad	you
forgivmmelIfyouwillsendmeonelittlelineandsaylamcoming	in
0MIwiustayonAngdOsocheei’h1ulThinkhowitdohurt	my
myheartnottoseeymevereverl	troubleI
Ah’	have
Icmxldonlymakeyourdear	no
heartacheonelittleminuteofeachdayasminedoesevaydayandal	one
null	else
null	I
null	think
null	I
null	must
null	die
null	if
null	you
null	do
null	not
null	come
null	soon
null	or
null	tell
null	me
null	to
null	come
null	to
null	you
null	please
null	please
null	not
null	to
null	be
null	justonly
null	a
null	little
null	kind
null	to
null	me
null	If
null	you
null	would
null	come
null	I
null	could
null	die
null	in
null	your
null	arms
null	I
null	would
null	be
null	well
null	content
null	to
null	do
null	that
null	if
null	so
null	be
null	you
null	had
null	forgiven
null	me
null	if
null	you
null	will
null	send
null	me
null	one
null	little
null	line
null	and
null	say
null	I
null	am
null	coming
null	soon
null	I
null	will
null	bide
null	on
null	AngelO
null	so
null	cheerfully
null	think
null	how
null	it
null	do
null	hurt
null	my
null	heart
null	not
null	to
null	see
null	you
null	everever
null	Ah
null	if
null	I
null	could
null	only
null	make
null	your
null	dear
null	heart
null	ache
null	one
null	little
null	minute
null	of
null	each
day	day
null	as
null	mine
null	does
null	every
null	day
null	and
null	all
null	day
long	long
it	it
might	might
lead	lead
you	you
toshow	to
null	show
pity	pity
to	to
your	your
pomlonely	poor
null	lonely
one	one
Iwouldbecontentayglndtolivewithyouasyourservantiflmay	I
notasyourwifesothat1emldonlybenmryouandgetglimpsesof	would
youandthinko£ymasmineIlongforonlyone	be
’	content
inheaven	ay
orearﬂiorunderﬂieeerthmmeetyoumyowndeerl	glad
tome	to
cmnetomeandsavemefromwhetthnatensme	live
null	with
null	you
null	as
null	your
null	servant
null	if
null	I
null	may
null	not
null	as
null	your
null	wife
null	so
null	that
null	I
null	could
null	only
null	be
null	near
null	you
null	and
null	get
null	glimpses
null	of
null	you
null	and
null	think
null	of
null	you
null	as
null	mine
null	I
null	long
null	for
null	only
null	one
null	thing
null	in
null	heaven
null	or
null	earth
null	or
null	under
null	the
null	earth
null	to
null	meet
null	you
null	my
null	own
null	dear
null	Come
null	to
null	mecome
null	to
null	me
null	and
null	save
null	me
null	from
null	what
null	threatens
null	me
Clare	Clare
determined	determined
that	that
he	he
would	would
no	no
longer	longer
believe	believe
in	in
her	her
more	more
recent	recent
and	and
severer	severer
regard	regard
of	of
him	him
but	but
would	would
go	go
and	and
ﬁnd	find
h	her
immediately	immediately
He	He
asked	asked
his	his
father	father
if	if
she	she
had	had
app	applied
ed	null
for	for
any	any
money	money
during	during
his	his
absence	absence
His	His
father	father
returned	returned
a	a
negative	negative
and	and
then	then
for	for
the	the
ﬁrst	first
time	time
it	it
occurred	occurred
to	to
Angel	Angel
that	that
her	her
pride	pride
had	had
stood	stood
in	in
her	her
way	way
and	and
that	that
she	she
had	had
suffered	suffered
privation	privation
From	From
his	his
remarks	remarks
his	his
parents	parents
now	now
gathered	gathered
the	the
real	real
reason	reason
of	of
the	the
separation	separation
and	and
their	their
Christianity	Christianity
was	was
such	such
that	that
reprobates	reprobates
being	being
their	their
especial	especial
care	care
the	the
tenderness	tenderness
towards	towards
Tess	Tess
which	which
her	her
blood	blood
her	her
simplicity	simplicity
even	even
her	her
poverty	poverty
had	had
not	not
engendered	engendered
was	was
instantly	instantly
excited	excited
by	by
her	her
sin	sin
Whilst	Whilst
he	he
was	was
hastily	hastily
packing	packing
together	together
a	a
few	few
473	null
TESS	null
OF	null
THE	null
DURBERVILLES	null
articles	articles
for	for
his	his
journey	journey
he	he
glanced	glanced
over	over
a	a
poor	poor
plain	plain
missive	missive
also	also
lately	lately
come	come
to	to
hand—the	handthe
one	one
from	from
Marian	Marian
and	and
In	Izz
Huett	Huett
beginning——	beginning
‘HONOUR’D	Honourd
SIR—Look	Sir
null	Look
to	to
your	your
wife	Wife
if	if
you	you
do	do
love	love
her	her
as	as
much	much
as	as
she	she
do	do
you’	love
null	you
and	and
signed	signed
‘Fnou	From
Two	Two
WELLWxsnnsl	WellWishers
LIV	LIV
IN	In
a	a
quarter	quarter
of	of
an	an
hour	hour
Clare	Clare
was	was
leaving	leaving
the	the
house	house
whence	whence
his	his
mother	mother
watched	watched
his	his
thin	thin
ﬁgure	figure
as	as
it	it
disappeared	disappeared
into	into
the	the
street	street
He	He
had	had
declined	declined
to	to
borrow	borrow
his	his
fathers	fathers
old	old
mare	mare
well	well
knowing	knowing
of	of
its	its
necessity	necessity
to	to
the	the
household	household
He	He
went	went
to	to
the	the
inn	inn
where	where
he	he
hired	hired
a	a
trap	trap
and	and
could	could
hardly	hardly
wait	wait
during	during
the	the
harnessing	harnessing
In	In
a	a
very	very
few	few
minutes	minutes
after	after
he	he
was	was
driving	driving
up	up
the	the
hill	hill
out	out
of	of
the	the
town	town
which	which
three	three
or	or
four	four
months	months
earlier	earlier
in	in
the	the
year	year
Tess	Tess
had	had
descended	descended
with	with
such	such
hopes	hopes
and	and
ascended	ascended
with	with
such	such
shattered	shattered
purposes	purposes
Benvill	Benvill
Lane	Lane
soon	soon
stretched	stretched
before	before
him	him
its	its
hedges	hedges
and	and
trees	trees
purple	purple
with	with
buds	buds
but	but
he	he
was	was
looking	looking
at	at
other	other
things	things
and	and
only	only
recalled	recalled
himself	himself
to	to
the	the
scene	scene
suﬂieiently	sufficiently
to	to
enable	enable
him	him
to	to
keep	keep
the	the
way	way
In	In
something	something
less	less
than	than
an	an
hourandahalf	hourandahalf
he	he
had	had
skirted	skirted
the	the
south	south
of	of
the	the
King’sHintock	Kings
null	Hintock
estates	estates
and	and
ascended	ascended
to	to
the	the
untoward	untoward
solitude	solitude
of	of
Crossin—Hand	CrossinHand
the	the
unholy	unholy
stone	stone
whereon	whereon
Tess	Tess
had	had
been	been
compelled	compelled
by	by
Alec	Alec
d’Urberville	dUrberville
in	in
his	his
whim	whim
of	of
reformation	reformation
to	to
swear	swear
the	the
strange	strange
oath	oath
that	that
she	she
would	would
never	never
wilftu	wilfully
tempt	tempt
him	him
again	again
The	The
pale	pale
and	and
blasted	blasted
nettlestems	nettlestems
of	of
the	the
precedingyear	preceding
null	year
even	even
now	now
lingered	lingered
nakedly	nakedly
in	in
the	the
banks	banks
young	young
green	green
nettles	nettles
of	of
the	the
present	present
spring	spring
growing	growing
from	from
their	their
roots	roots
Thence	Thence
he	he
went	went
along	along
the	the
verge	verge
of	of
the	the
upland	upland
overhanging	overhanging
the	the
other	other
Hintocks	Hintocks
and	and
turning	turning
to	to
the	the
right	right
plunged	plunged
into	into
the	the
bracing	bracing
calcareous	calcareous
region	region
of	of
Flintcomb—Ash	FlintcombAsh
the	the
address	address
from	from
which	which
she	she
had	had
written	written
to	to
him	him
in	in
one	one
of	of
the	the
letters	letters
and	and
which	which
he	he
supposed	supposed
to	to
be	be
the	the
place	place
of	of
sojourn	sojourn
referred	referred
to	to
by	by
her	her
mother	mother
Here	Here
of	of
course	course
he	he
did	did
not	not
ﬁnd	find
her	her
and	and
what	what
added	added
475	null
TESS	null
OF	null
THE	null
DURBERVILLES	null
to	to
his	his
depression	depression
was	was
the	the
discovery	discovery
that	that
no	no
‘	null
Mrs	Mrs
Clare’	Clare
had	had
ever	ever
been	been
heard	heard
of	of
by	by
the	the
cottagers	cottagers
or	or
by	by
the	the
farmer	farmer
himself	himself
though	though
Tess	Tess
was	was
remembered	remembered
well	well
enough	enough
by	by
her	her
Christian	Christian
name	name
His	His
name	name
she	she
had	had
obviously	obviously
never	never
used	used
during	during
their	their
separation	separation
and	and
her	her
digniﬁed	dignified
sense	sense
of	of
their	their
total	total
severance	severance
was	was
shown	shown
not	not
much	much
less	less
by	by
this	this
abstention	abstention
than	than
by	by
the	the
hardships	hardships
she	she
had	had
chosen	chosen
to	to
undergo	undergo
of	of
which	which
he	he
now	now
learnt	learnt
for	for
thedﬁérst	the
null	first
time	time
rather	rather
than	than
apply	apply
to	to
his	his
father	father
for	for
more	more
un	funds
From	From
this	this
place	place
they	they
told	told
him	him
Tess	Tess
Durbeyﬁeld	Durbeyfield
had	had
gone	gone
without	without
due	due
notice	notice
to	to
the	the
home	home
of	of
her	her
parents	parents
on	on
the	the
other	other
side	side
of	of
Blackmoor	Blackmoor
and	and
it	it
therefore	therefore
became	became
necessary	necessary
to	to
ﬁnd	find
Mrs	Mrs
Durbeyﬁeld	Durbeyfield
She	She
had	had
told	told
him	him
she	she
was	was
not	not
now	now
at	at
Marlott	Marlott
but	but
had	had
been	been
curiously	curiously
reticent	reticent
as	as
to	to
her	her
actual	actual
address	address
and	and
the	the
only	only
course	course
was	was
to	to
go	go
to	to
Marlott	Marlott
and	and
inquire	inquire
for	for
it	it
The	The
farmer	farmer
who	who
had	had
been	been
so	so
churlish	churlish
with	with
Tess	Tess
was	was
quite	quite
smoothtongued	smoothtongued
to	to
Clare	Clare
and	and
lent	lent
him	him
a	a
horse	horse
and	and
man	man
to	to
drive	drive
him	him
towards	towards
Marlott	Marlott
the	the
gig	gig
he	he
had	had
arrived	arrived
in	in
being	being
sent	sent
back	back
to	to
Emminster	Emminster
for	for
the	the
limit	limit
of	of
a	a
day’s	days
journey	journey
with	with
that	that
horse	horse
was	was
reached	reached
Clare	Clare
would	would
not	not
accept	accept
the	the
loan	loan
of	of
the	the
farmer’s	farmers
vehicle	vehicle
for	for
a	a
further	further
distance	distance
than	than
to	to
the	the
outskirts	outskirts
of	of
the	the
Vale	Vale
and	and
sending	sending
it	it
back	back
with	with
the	the
man	man
who	who
had	had
driven	driven
him	him
he	he
put	put
up	up
at	at
an	an
inn	inn
and	and
next	next
day	day
entered	entered
on	on
foot	foot
the	the
region	region
wherein	wherein
was	was
the	the
spot	spot
of	of
his	his
dear	dear
Tess’s	Tesss
birth	birth
It	It
was	was
as	as
yet	yet
too	too
early	early
in	in
the	the
year	year
for	for
much	much
colour	colour
to	to
appear	appear
in	in
the	the
gardens	gardens
and	and
foliage	foliage
the	the
socalled	socalled
spring	spring
was	was
but	but
winter	winter
overlaid	overlaid
with	with
a	a
thin	thin
coat	coat
of	of
greenness	greenness
and	and
it	it
was	was
of	of
a	a
parcel	parcel
with	with
his	his
expectations	expectations
The	The
house	house
in	in
which	which
Tess	Tess
had	had
passed	passed
the	the
years	years
of	of
her	her
childhood	childhood
was	was
now	now
inhabited	inhabited
by	by
another	another
family	family
who	who
had	had
never	never
known	known
her	her
The	The
new	new
residents	residents
were	were
in	in
the	the
garden	garden
taking	taking
as	as
much	much
interest	interest
in	in
their	their
own	own
doings	doings
as	as
if	if
the	the
homestead	homestead
had	had
never	never
passed	passed
its	its
primal	primal
time	time
in	in
conjunction	conjunction
with	with
the	the
histories	histories
of	of
others	others
beside	beside
which	which
to	null
him	null
the	the
histories	histories
of	of
these	these
were	were
but	but
as	as
‘a	a
tale	tale
told	told
476	null
FULFILMENT	null
by	by
an	an
idiot’	idiot
They	They
walked	walked
about	about
the	the
gardenpaths	garden
null	paths
with	with
thoughts	thoughts
of	of
their	their
own	own
concerns	concerns
entirely	entirely
uppermost	uppermost
bringing	bringing
their	their
actions	actions
at	at
every	every
moment	moment
into	in
jarring	jarring
collision	collision
with	with
the	the
dim	dim
ghosts	ghosts
behind	behind
them	them
talking	talking
as	as
though	though
the	the
time	time
when	when
Tess	Tess
lived	lived
there	there
were	were
i	null
not	not
one	one
whit	whit
intenser	intenser
in	in
story	story
than	than
now	now
Even	Even
the	the
spring	spring
birds	birds
sang	sang
over	over
their	their
heads	heads
as	as
if	if
they	they
thought	thought
there	there
was	was
nobody	nobody
missing	missing
in	in
particular	particular
On	On
inquiry	inquiry
of	of
these	these
precious	precious
innocents	innocents
to	to
whom	whom
even	even
the	the
name	name
of	of
their	their
predecessors	predecessors
was	was
a	a
failing	failing
memory	memory
Clare	Clare
learned	learned
that	that
John	John
Durbeyﬁeld	Durbeyfield
was	was
dead	dead
that	that
his	his
widow	widow
and	and
children	children
had	had
left	left
Marlott	Marlott
declaring	declaring
that	that
they	they
were	were
going	going
to	to
live	live
at	at
Kingsbere	Kingsbere
but	but
instead	instead
of	of
doing	doing
so	so
had	had
gone	gone
on	on
to	to
another	another
place	place
they	they
mentioned	mentioned
By	By
this	this
time	time
Clare	Clare
abhorred	abhorred
the	the
house	house
for	for
ceasing	ceasing
to	to
contain	contain
Tess	Tess
and	and
hastened	hastened
away	away
from	from
its	its
hated	hated
presence	presence
without	without
once	once
looking	looking
back	back
His	His
way	way
was	was
by	by
the	the
ﬁeld	field
in	in
which	which
he	he
had	had
ﬁrst	first
beheld	beheld
her	her
at	at
the	the
dance	dance
It	It
was	was
as	as
bad	bad
as	as
the	the
house	houseeven
—even	null
worse	worse
He	He
passed	passed
on	on
through	through
the	the
churchyard	churchyard
where	where
amongst	amongst
the	the
new	new
headstones	headstones
he	he
saw	saw
one	one
of	of
a	a
somewhat	somewhat
superior	superior
design	design
to	to
the	the
rest	rest
The	The
inscription	inscription
ran	ran
thus	thus
In	In
memory	memory
of	of
John	John
Durbeyﬁeld	Durbeyfield
ri	rightly
tly	dUrberville
d’Urberville	of
null	the
null	once
null	powerful
null	family
of	of
the	that
once	Name
ulfamilyofthatNameand‘	and
Descmdantthroughan	Direct
ustrious	Descendant
null	through
null	an
null	illustrious
Line	Line
fran	from
Sir	Sir
Pagan	Pagan
d’Urberville	dUrberville
one	one
of	of
the	the
Knighb	Knights
ofthe	of
null	the
Conqueror	Conqueror
Died	Died
March	March
xoth	10th
18——	18
How	HOW
mm	ARE
m	THE
Mmm	MIGHTY
Faun	FALLEN
Some	Some
man	man
apparently	apparently
the	the
sexton	sexton
had	had
observed	observed
Clare	Clare
standing	standing
there	there
and	and
drew	drew
nigh	nigh
‘Ah	Ah
sir	sir
now	now
that’s	thats
a	a
man	man
who	who
didn’t	didnt
want	want
to	to
lie	lie
here	here
but	but
wished	wished
to	to
be	be
carried	carried
to	to
Kingsbere	Kingsbere
where	where
his	his
ancestors	ancestors
be’	be
‘And	And
why	why
didn’t	didnt
they	they
respect	respect
his	his
wish’	wish
‘Oh—no	Ohno
money	money
Bless	Bless
your	your
soul	soul
sir	sir
why—there	whythere
I	I
wouldnt	wouldnt
wish	wish
to	to
say	say
it	it
everywhere	everywhere
but—even	buteven
this	this
headstone	headstone
for	for
all	all
the	the
ﬂourish	flourish
wrote	wrote
upon	upon
en	en
is	is
not	not
paid	paid
for’	for
‘Ah	Ah
who	who
put	put
it	it
up’	up
The	The
man	man
told	told
the	the
name	name
of	of
a	a
mason	mason
in	in
the	the
village	village
477	null
TESS	null
OF	null
THE	null
DURBERVILLES	null
and	and
on	on
leaving	leaving
the	the
churchyard	churchyard
Clare	Clare
called	called
at	at
the	the
masons	masons
house	house
He	He
found	found
that	that
the	the
statement	statement
was	was
true	true
and	and
paid	paid
the	the
bill	bill
This	This
done	done
he	he
turned	turned
in	in
the	the
direction	direction
of	of
the	the
migran	migrants
The	The
distance	distance
was	was
too	too
long	long
for	for
a	a
walk	walk
but	but
Clare	Clare
felt	felt
such	such
a	a
strong	strong
desire	desire
for	for
isolation	isolation
that	that
at	at
ﬁrst	first
he	he
would	would
neither	neither
hire	hire
a	a
conveyance	conveyance
nor	nor
go	go
to	to
a	a
circuitous	circuitous
line	line
of	of
railway	railway
by	by
which	which
he	he
might	might
eventually	eventually
reach	reach
the	the
place	place
At	At
Shaston	Shaston
however	however
he	he
found	found
he	he
must	must
hire	hire
but	but
the	the
way	way
was	was
such	such
that	that
he	he
did	did
not	not
enter	enter
Joan’s	Joans
place	place
till	till
about	about
seven	seven
o’clock	oclock
in	in
the	the
evening	evening
having	having
traversed	traversed
a	a
distance	distance
of	of
over	over
twenty	twenty
miles	miles
since	since
leaving	leaving
Marlott	Marlott
The	The
village	village
being	being
small	small
he	he
had	had
little	little
difﬁculty	difficulty
in	in
ﬁnding	finding
Mrs	Mrs
Durbeyﬁeld’s	Durbeyfields
tenement	tenement
which	which
was	was
a	a
house	house
in	in
a	a
walled	walled
garden	garden
remote	remote
from	from
the	the
main	main
road	road
where	where
she	she
had	had
stowed	stowed
away	away
her	her
clumsy	clumsy
old	old
furniture	furniture
as	as
best	best
she	she
could	could
It	It
was	was
plain	plain
that	that
for	for
some	some
reason	reason
or	or
other	other
she	she
had	had
not	not
wished	wished
him	him
to	to
visit	visit
her	her
and	and
he	he
felt	felt
his	his
call	call
to	to
be	be
somewhat	somewhat
of	of
an	an
intrusion	intrusion
She	She
came	came
to	to
the	the
door	door
herself	herself
and	and
the	the
light	light
from	from
the	the
evening	evening
sky	sky
fell	fell
upon	upon
her	her
face	face
This	This
was	was
the	the
ﬁrst	first
time	time
that	that
Clare	Clare
had	had
ever	ever
met	met
her	her
but	but
he	he
was	was
too	too
preoccupied	preoccupied
to	to
observe	observe
more	more
than	than
that	that
she	she
was	was
still	still
a	a
handsome	handsome
woman	woman
in	in
the	the
garb	garb
of	of
a	a
respectable	respectable
widow	widow
He	He
was	was
obliged	obliged
to	to
explain	explain
that	that
he	he
was	was
Tess’s	Tesss
husband	husband
and	and
his	his
object	object
in	in
coming	coming
there	there
and	and
he	he
did	did
it	it
awkwardly	awkwardly
enough	enough
‘I	I
want	want
to	to
see	see
her	her
at	at
once’	once
he	he
added	added
‘You	You
said	said
you	you
would	would
write	write
to	to
me	me
again	again
but	but
you	you
have	have
not	not
done	done
so’	so
‘Because	Because
she’ve	sheve
not	not
come	come
home’	home
said	said
Joan	Joan
‘Do	Do
you	you
know	know
if	if
she	she
is	is
well’	well
‘I	I
dont	dont
But	But
you	you
ought	ought
to	to
sir’	sir
said	said
she	she
‘I	I
admit	admit
it	it
Where	Where
is	is
she	she
staying’	staying
From	From
the	the
beginning	beginning
of	of
the	the
interview	interview
Joan	Joan
had	had
disclosed	disclosed
her	her
embarrassment	embarrassment
by	by
keeping	keeping
her	her
hand	hand
to	to
the	the
side	side
of	of
her	her
cheek	cheek
‘I—dont	Idont
know	know
exactly	exactly
where	where
she	she
is	is
staying’	staying
she	she
answered	answered
‘She	She
was—but—’	wasbut
‘Where	Where
was	was
she’	she
478	Well
FULFILMENT	null
‘Well	null
she	she
is	is
not	not
there	there
now’	now
In	In
her	her
evasiveness	evasiveness
she	she
paused	paused
again	again
and	and
the	the
younger	younger
children	children
had	had
by	by
this	this
time	time
crept	crept
to	to
the	the
door	door
where	where
pulling	pulling
at	at
his	his
mothers	mothers
skirts	skirts
the	the
youngest	youngest
murmured—	murmured
‘Is	Is
this	this
the	the
gentleman	gentleman
who	who
is	is
going	going
to	to
marry	marry
Tess’	Tess
‘He	He
has	has
married	married
her’	her
Joan	Joan
whispered	whispered
‘Go	Go
inside’	inside
Clare	Clare
saw	saw
her	her
eﬂorts	efforts
for	for
reticence	reticence
and	and
asked——	asked
‘Do	Do
you	you
think	think
Tess	Tess
would	would
wish	wish
me	me
to	to
try	try
and	and
ﬁnd	find
her	her
If	If
not	not
of	of
course—’	course
‘I	I
dont	dont
think	think
she	she
would’	would
‘Are	Are
you	you
sure’	sure
‘I	I
am	am
sure	sure
she	she
wouldnt’	wouldnt
He	He
was	was
turning	turning
away	away
and	and
then	then
he	he
thought	thought
of	of
Tess’s	Tesss
tender	tender
letter	letter
‘I	I
am	am
sure	sure
she	she
would’	would
he	he
retorted	retorted
passionately	passionately
‘I	I
know	know
her	her
better	better
than	than
you	you
do’	do
‘That’s	Thats
very	very
likely	likely
sir	sir
for	for
I	I
have	have
never	never
really	really
known	known
her’	her
‘Please	Please
tell	tell
me	me
her	her
address	address
Mrs	Mrs
Durbeyﬁeld	Durbeyfield
in	in
kindness	kindness
to	to
a	a
lonely	lonely
wretched	wretched
man’	man
Tesss	Tesss
mother	mother
again	again
restlesst	restlessly
swept	swept
her	her
cheek	cheek
with	with
her	her
vertical	vertical
hand	hand
and	and
seeing	seeing
that	that
he	he
suffered	suffered
she	she
at	at
last	last
said	said
in	is
a	a
low	low
voice—	voice
‘She	She
is	is
at	at
Sandbourne’	Sandbourne
‘Ah—where	Ahwhere
there	there
Sandbourne	Sandbourne
has	has
become	become
a	a
large	large
place	place
they	they
say’	say
‘I	I
don’t	dont
know	know
more	more
particularly	particularly
than	than
I	I
have	have
said—	saidSandbourne
Sandbourne	null
For	For
myself	myself
I	I
was	was
never	never
there’	there
It	It
was	was
apparent	apparent
that	that
Joan	Joan
spoke	spoke
the	the
truth	truth
in	in
this	this
and	and
he	he
pressed	pressed
her	her
no	no
further	further
‘Are	Are
you	you
in	in
want	want
of	of
anything’	anything
he	he
said	said
gently	gently
f	No
‘No	sir
sir’	null
she	she
replied	replied
‘We	We
are	are
fairly	fairly
well	well
provided	provided
or’	for
Without	Without
entering	entering
the	the
house	house
Clare	Clare
turned	turned
away	away
There	There
was	was
a	a
station	station
three	three
miles	miles
ahead	ahead
and	and
paying	paying
off	off
his	his
ooachman	coachman
he	he
walked	walked
thither	thither
The	The
last	last
train	train
to	to
Sandbourne	Sandbourne
left	left
shortly	shortly
after	after
and	and
it	it
bore	bore
Clare	Clare
on	on
its	its
wheels	wheels
479	null
LV	LV
Ar	At
